provider,buffer_depth_ms,metric,estimate,ci_low,ci_high,n_traces,n_prompts
elevenlabs,120.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
elevenlabs,120.0,median_actual_startup_buffer_ms,139.15625,124.43749999999999,142.5,120,6
elevenlabs,200.0,median_ttfa_ms,195.17466696561314,186.08041596598923,229.43116701208055,120,6
elevenlabs,200.0,median_delivery_rtf,0.058894626502829235,0.04191464845366519,0.13274153494482327,120,6
elevenlabs,200.0,median_trace_p95_interarrival_ms,1.2909544835565612,0.9653419498863449,2.054792013950646,120,6
elevenlabs,200.0,median_trace_p95_pacing_error_ms,-5.0564435055945065,-5.880375347410639,-3.907254161088125,120,6
elevenlabs,200.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,200.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
elevenlabs,200.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
elevenlabs,200.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
elevenlabs,200.0,median_actual_startup_buffer_ms,210.21875,210.04166666666669,221.48958333333331,120,6
cartesia,0.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,0.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,0.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,0.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,0.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,0.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,20.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,20.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,20.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,20.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,20.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,20.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,40.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,40.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,40.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,40.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,40.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,40.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,80.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,80.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,80.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,80.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,120.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,120.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,120.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,120.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,120.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,120.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,200.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
cartesia,200.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,200.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,200.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,200.0,request_success_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,200.0,playable_success_rate,1.0,0.9689808335812966,1.0,120,6
